file_urls,time
https://www.opelousasgeneral.com/sites/www/Uploads/files/OGHS%20Chargemaster%20-January%202019.xlsx,04 19 2019 09:11:30
http://www.abbevillegeneral.com/wp-content/uploads/Average-Charge-By-DRG-For-Posting-on-AG-Website-010119.xlsx,04 19 2019 09:11:30
http://www.abbevillegeneral.com/wp-content/uploads/ChargeMaster.xlsx,04 19 2019 09:11:31
